case,location,date,fatalities,injured,total_victims,location2,age_of_shooter,prior_signs_mental_health_issues,race,gender,latitude,longitude,type,year
Fort Lauderdale revenge shooting,Fort Lauderdale Florida,02/09/1996,6,1,7,Workplace,41,Yes,black,Male,26.119269,-80.104119,Spree,1996
Kalamazoo shooting spree,Kalamazoo County Michigan,2/20/2016,6,2,8,Other,45,Unclear,White,M,42.236689,-85.674795,Mass,2016
Kirkwood City Council shooting,Kirkwood  Missouri,02/07/2008,6,2,8,Other,52,No,black,Male,38.580093,-90.40691,Mass,2008
Shopping centers spree killings,Palm Bay Florida,4/23/1987,6,14,20,Other,59,Yes,white,Male,28.0331886,-80.6429695,Spree,1987
Westside Middle School killings,Jonesboro  Arkansas,3/24/1998,5,10,15,School,11,No,white,Male,35.8209895,-90.6682606,Mass,1998
Marysville-Pilchuck High School shooting,Marysville  Washington,10/24/2014,5,1,6,School,15,Unclear,Native American,Male,48.050824,-122.176918,Mass,2014
Cascade Mall shooting,Burlington  Washington,9/23/2016,5,0,5,Other,20,Yes,-,M,48.461367,-122.337918,Mass,2016
Air Force base shooting,Fairchild Air Force Base Washington,6/20/1994,5,23,28,Military,20,Yes,white,Male,47.61864486,-117.6483587,Mass,1994
SunTrust bank shooting,Sebring  Florida,1/23/19,5,0,5,Workplace,21,Yes,White,M,27.471043,-81.45847,Mass,2019
Chattanooga military recruitment center,Chattanooga  Tennessee,7/16/2015,5,2,7,Military,24,Unclear,Other,Male,35.047157,-85.311819,Mass,2015
Dallas police shooting,Dallas  Texas,07/07/2016,5,11,16,Other,25,Unclear,Black,M,32.7801052,-96.8000082,Mass,2016
Damageplan show shooting,Columbus  Ohio,12/08/2004,5,7,12,Other,25,Yes,white,Male,39.9622601,-83.0007065,Mass,2004
Fort Lauderdale airport shooting,Fort Lauderdale Florida,01/06/2017,5,6,11,Airport,26,Yes,Latino,M,26.072751,-80.143382,Mass,2017
Pinewood Village Apartment shooting,Federal Way Washington,4/21/2013,5,0,5, Other ,27,No,Black,Male,47.3129607,-122.3393665,Mass,2013
Northern Illinois University shooting,DeKalb  Illinois,2/14/2008,5,21,26,School,27,Yes,white,Male,41.9294736,-88.7503647,Mass,2008
Royal Oak postal shootings,Royal Oak Michigan,11/14/1991,5,5,10,Workplace,31,Yes,white,Male,42.4894801,-83.1446485,Mass,1991
IHOP shooting,Carson City Nevada,09/06/2011,5,7,12,Other,32,Yes,Latino,Male,39.1637984,-119.7674034,Mass,2011
Connecticut Lottery shooting,Newington  Connecticut,03/06/1998,5,1,6,Workplace,35,Yes,white,Male,41.6856325,-72.72983827,Mass,1998
Hotel shooting,Tampa  Florida,12/30/1999,5,3,8,Workplace,36,Yes,Latino,Male,27.966479,-82.570586,Spree,1999
Capital Gazette shooting,Annapolis  Maryland,6/28/18,5,2,7,Workplace,38,-,White,M,38.994548,-76.543657,Mass,2018
Caltrans maintenance yard shooting,Orange  California,12/18/1997,5,2,7,Workplace,41,No,Latino,Male,33.7877944,-117.8531119,Spree,1997
Rancho Tehama shooting spree,Rancho Tehama California,11/14/17,5,10,15,Other,44,TBD,White,M,40.018759,-122.393089,Spree,2017
Harry Pratt Co. warehouse shooting,Aurora  Illinois,2/15/19,5,6,11,Workplace,45,Yes,Black,M,41.753725,-88.331057,Mass,2019
Florida awning manufacturer shooting,Orlando  Florida,06/05/2017,5,0,5,Workplace,45,Unclear,-,M,28.580295,-81.294086,Mass,2017
Watkins Glen killings,Watkins Glen  New York,10/15/1992,5,0,5,Other,50,Yes,white,Male,42.3810555,-76.8705777,Mass,1992
Molson Coors shooting,Milwaukee  Wisconsin,2/26/20,5,0,5,Workplace,51,-,Black,M,43.044511,-87.962537,Mass,2020
T&T Trucking shooting,Bakersfield  California,09/12/2018,5,0,5,Workplace,54,-,Latino,M,35.349388,-118.916335,Spree,2018
Su Jung Health Sauna shooting,Norcross  Georgia,2/21/2012,5,0,5,Other,59,Yes,Asian,Male,33.9412127,-84.2135309,Mass,2012
Mohawk Valley shootings,Herkimer County  New York,3/13/2013,5,2,7,Other,64,No,White,Male,43.045601,-74.984891,Mass,2013
Navistar shooting,Melrose Park Illinois,02/05/2001,5,4,9,Workplace,66,No,black,Male,41.908163,-87.879908,Mass,2001
Thurston High School shooting,Springfield  Oregon,5/21/1998,4,25,29,School,15,Yes,white,Male,44.0462362,-123.0220289,Mass,1998
Chuck E. Cheese's killings,Aurora  Colorado,12/14/1993,4,1,5,Workplace,19,Unclear,black,Male,39.675599,-104.844845,Mass,1993
Lindhurst High School shooting,Olivehurst  California,05/01/1992,4,10,14,School,20,No,white,Male,39.07868761,-121.5475762,Mass,1992
Luigi's shooting,Fayetteville North Carolina,08/06/1993,4,8,12,Other,22,No,white,Male,35.0529931,-78.8787058,Mass,1993
Pennsylvania carwash shooting,Melcroft  Pennsylvania,1/28/18,4,1,5,Other,28,TBD,White,M,40.052151,-79.389166,Mass,2018
Waffle House shooting,Nashville  Tennessee,4/22/18,4,4,8,Other,29,Yes,White,M,36.052521,-86.616944,Mass,2018
Coffee shop police killings,Parkland  Washington,11/29/2009,4,1,5,Other,37,Yes,black,Male,47.15277,-122.467308,Mass,2009
R.E. Phelon Company shooting,Aiken South Carolina,9/15/1997,4,3,7,Workplace,43,No,black,Male,33.5598586,-81.721952,Mass,1997
Alturas tribal shooting,Alturas  California,2/20/2014,4,2,6,Other,44,Unknown,Native American,Female,41.487104,-120.542237,Spree,2014
Jersey City kosher market shooting,Jersey City New Jersey,12/10/2019,4,3,7,Other,-,-,Black,-,40.707363,-74.083609,Spree,2019
Gilroy garlic festival shooting,Gilroy  California,7/28/19,3,12,15,Other,19,TBD,-,M,36.997191,-121.584819,Mass,2019
Pennsylvania hotel bar shooting,State College Pennsylvania,1/24/19,3,1,4,Other,21,-,White,M,40.785142,-77.839411,Spree,2019
Pennsylvania supermarket shooting,Tunkhannock  Pennsylvania,06/07/2017,3,0,3,Workplace,24,Unclear,White,M,41.529546,-75.94722,Mass,2017
Rite Aid warehouse shooting,Perryman  Maryland,9/20/18,3,3,6,Workplace,26,-,Black,F,39.455658,-76.208485,Mass,2018
Trestle Trail bridge shooting,Menasha  Wisconsin,06/11/2015,3,1,4,Other,27,Yes,Latino,M,44.204124,-88.467541,Mass,2015
Fifth Third Center shooting,Cincinnati  Ohio,09/06/2018,3,2,5,Workplace,29,Yes,Latino,M,39.101981,-84.511782,Mass,2018
Baton Rouge police shooting,Baton Rouge  Lousiana,7/17/2016,3,3,6,Other,29,Yes,Black,M,30.433601,-91.081403,Spree,2016
Mercy Hospital shooting,Chicago  Illinois,11/19/18,3,0,3,Workplace,32,-,Latino,M,41.847667,-87.622009,Mass,2018
